Time,Displacement,Force
0.0157949,0.0157949,-1.201725
0.0355476,0.0355476,-1.3720266
0.138638,0.138638,-1.5464484
0.2366421,0.2366421,-1.5148602
0.335972,0.335972,-1.4104818
0.4349791,0.4349791,-1.352799
0.532923,0.532923,-0.782838
0.6326778,0.6326778,-1.4667912
0.7320188,0.7320188,-1.606878
0.835089,0.835089,-1.2113388
0.9402197,0.9402197,-0.7526232
1.041944,1.041944,-0.8254134
1.1406009,1.1406009,-1.3404384
1.2362167,1.2362167,-1.4585508
1.3461306,1.3461306,-1.1069604
1.4379699,1.4379699,-1.2525408
1.5383531,1.5383531,-1.1220678
1.6348575,1.6348575,-0.8597484
1.7379345,1.7379345,-0.6921936
1.8458167,1.8458167,-1.4173488
1.9490749,1.9490749,-1.222326
2.0443393,2.0443393,-1.1893644
2.1430427,2.1430427,-1.503873
2.238267,2.238267,-1.5299676
2.3412379,2.3412379,-1.2456738
2.4341123,2.4341123,-1.3830138
2.5361698,2.5361698,-1.3335714
2.6495728,2.6495728,-1.3363182
2.7481781,2.7481781,-1.1989782
2.8406459,2.8406459,-1.153656
2.9406979,2.9406979,-1.3431852
3.0463176,3.0463176,-1.2800088
3.1348586,3.1348586,-1.1632698
3.2414444,3.2414444,-0.954513
3.3394706,3.3394706,-0.9655002
3.4504026,3.4504026,-1.112454
3.5483038,3.5483038,-1.0891062
3.6400613,3.6400613,-1.1152008
3.7435325,3.7435325,-0.8693622
3.8505849,3.8505849,-0.8405208
3.943054,3.943054,-1.0561446
4.0397072,4.0397072,-0.8432676
4.1367896,4.1367896,-0.8913366
4.2482106,4.2482106,-1.1701368
4.3481462,4.3481462,-0.9188046
4.4492731,4.4492731,-0.9943416
4.5410287,4.5410287,-1.174257
4.6429244,4.6429244,-1.16739
4.7328412,4.7328412,-1.0808658
4.8493926,4.8493926,-1.3473054
4.9416275,4.9416275,-0.762237
5.0479121,5.0479121,-1.0547712
5.1442053,5.1442053,-1.153656
5.2504813,5.2504813,-1.0039554
5.333473,5.333473,-0.7498764
5.4435982,5.4435982,-0.9833544
5.5526273,5.5526273,-1.133055
5.6384773,5.6384773,-1.3363182
5.7372913,5.7372913,-1.1934846
5.8496551,5.8496551,-1.1344284
5.9500334,5.9500334,-0.9586332
6.0547907,6.0547907,-0.9531396
6.141908,6.141908,-1.0149426
6.229483,6.229483,-1.2800088
6.3479765,6.3479765,-1.2937428
6.4524238,6.4524238,-1.1165742
6.5274473,6.5274473,-1.0767456
6.6498814,6.6498814,-1.4049882
6.739671,6.739671,-1.2525408
6.8612232,6.8612232,-0.8982036
6.9387089,6.9387089,-1.3994946
7.0484742,7.0484742,-0.8844696
7.1413162,7.1413162,-0.8226666
7.2347569,7.2347569,-1.0767456
7.3280038,7.3280038,-1.0108224
7.4399253,7.4399253,-1.620612
7.5338888,7.5338888,-1.3404384
7.6391085,7.6391085,-1.0273032
7.7330615,7.7330615,-0.9311652
7.9009079,7.9009079,-0.9229248
7.9299088,7.9299088,-1.483272
8.0868013,8.0868013,-1.1564028
8.1893884,8.1893884,-1.1728836
8.2919755,8.2919755,-1.5121134
8.3250077,8.3250077,-1.3898808
8.479121,8.479121,-1.4750316
8.6061266,8.6061266,-1.3376916
8.632865,8.632865,-0.9847278
8.7906659,8.7906659,-1.1687634
8.89618,8.89618,-1.3830138
8.9284595,8.9284595,-1.600011
9.0828575,9.0828575,-1.3102236
