Time,Displacement,Force
0.0253713,0.0507426,-0.181485
0.0652295,0.130459,-0.55917
0.1668591,0.3337182,-0.84366
0.2648998,0.5297996,0.61803
0.3660144,0.7320288,-0.436545
0.4648745,0.929749,0.20601
0.5672697,1.1345394,0.387495
0.6631224,1.3262448,-0.10791
0.7669576,1.5339152,-0.161865
0.8719256,1.7438512,-0.053955
0.9659245,1.931849,-0.03924
1.0710453,2.1420906,0.13734
1.1667143,2.3334286,0.014715
1.2782244,2.5564488,-0.04905
1.3805205,2.761041,-0.04905
1.4802735,2.960547,-0.30411
1.5788375,3.157675,-0.31392
1.6690976,3.3381952,-0.25506
1.7699333,3.5398666,0.05886
1.8742875,3.748575,-0.07848
1.9738463,3.9476926,-0.26487
2.0772911,4.1545822,-0.2943
2.1745386,4.3490772,-0.0981
2.2721955,4.544391,-0.093195
2.3727778,4.7455556,-0.08829
2.467613,4.935226,-0.02943
2.5713785,5.142757,0.201105
2.6807456,5.3614912,0.03924
2.7767543,5.5535086,-0.02943
2.8690475,5.738095,0.014715
2.9731057,5.9462114,-0.142245
3.0756135,6.151227,-0.40221
3.1708876,6.3417752,-0.35316
3.2807919,6.5615838,-0.03924
3.3779518,6.7559036,-0.24525
3.4778092,6.9556184,-0.240345
3.5812696,7.1625392,-0.210915
3.6808922,7.3617844,-0.14715
3.7852647,7.5705294,-0.0981
3.8827343,7.7654686,-0.06867
3.9811158,7.9622316,0.07848
4.0722066,8.1444132,-0.03924
4.1706716,8.3413432,-0.22563
4.2785803,8.5571606,-0.240345
4.3800862,8.7601724,-0.171675
4.4758483,8.9516966,0.181485
4.5724495,9.144899,-0.083385
4.6700241,9.3400482,-0.250155
4.780257,9.560514,-0.122625
4.8716181,9.7432362,-0.465975
4.9845788,9.9691576,-0.161865
5.0747582,10.1495164,-0.083385
5.1799749,10.3599498,-0.063765
5.2748359,10.5496718,-0.073575
5.3796692,10.7593384,-0.04905
5.4749979,10.9499958,-0.103005
5.5830947,11.1661894,-0.01962
5.6885694,11.3771388,0.083385
5.7899634,11.5799268,-0.00981
5.8845544,11.7691088,-0.27468
5.9923855,11.984771,-0.191295
6.0915543,12.1831086,-0.103005
6.1911864,12.3823728,-0.23544
6.2921501,12.5843002,-0.024525
6.3880473,12.7760946,-0.01962
6.4787059,12.9574118,-0.475785
6.592431,13.184862,-0.603315
6.6666722,13.3333444,-0.279585
6.7817439,13.5634878,0.0
6.886213,13.772426,-0.13734
6.9824848,13.9649696,-0.201105
7.0664951,14.1329902,-0.12753
7.1851215,14.370243,-0.17658
7.2914537,14.5829074,-0.17658
7.3685371,14.7370742,-0.014715
7.489675,14.97935,-0.112815
7.5682854,15.1365708,-0.103005
7.676586,15.353172,-0.377685
7.7675621,15.5351242,-0.28449
7.8693607,15.7387214,-0.16677
7.9647772,15.9295544,-0.181485
8.0766752,16.1533504,-0.04905
8.1706352,16.3412704,0.112815
8.2656075,16.531215,0.073575
8.3606527,16.7213054,-0.3924
8.4728023,16.9456046,-0.456165
8.5687626,17.1375252,-0.18639
8.6647585,17.329517,-0.20601
8.7877876,17.5755752,-0.34335
8.8764864,17.7529728,-0.44145
8.9757408,17.9514816,-0.593505
9.0721419,18.1442838,-0.544455
9.1890624,18.3781248,-0.42183
9.2738657,18.5477314,-0.495405
9.3714246,18.7428492,-0.465975
9.4905676,18.9811352,-0.495405
9.5761251,19.1522502,-0.32373
9.6778006,19.3556012,-0.56898
9.7813809,19.5627618,-0.377685
9.8845998,19.7691996,-0.377685
9.988561,19.977122,-0.45126
10.0937508,20.1875016,-0.42183
10.1998076,20.3996152,-0.53955
10.3059594,20.6119188,-0.603315
10.4146405,20.829281,-0.465975
10.5234462,21.0468924,-0.407115
10.6317895,21.263579,-0.515025
10.7245139,21.4490278,-0.45126
10.8321169,21.6642338,-0.36297
10.9587342,21.9174684,-0.416925
10.981683,21.963366,-0.318825
11.0692972,22.1385944,-0.495405
11.1614138,22.3228276,-0.38259
11.3339247,22.6678494,-0.55917
11.4284161,22.8568322,-0.573885
11.5412709,23.0825418,-0.573885
11.5701966,23.1403932,-0.760275
11.7473671,23.4947342,-0.515025
11.7704222,23.5408444,-0.593505
11.8677679,23.7355358,-0.6867
12.0387041,24.0774082,-0.63765
12.0685265,24.137053,-0.57879
12.2434906,24.4869812,-0.6867
