Time,Displacement,Force
0.0121484,0.0242968,0.62201087
0.0551169,0.1102338,-0.18411522
0.1590754,0.3181508,0.71655652
0.2540811,0.5081622,0.0746413
0.3559963,0.7119926,0.68172391
0.4534498,0.9068996,0.20401957
0.5552054,1.1104108,-0.45282391
0.6535569,1.3071138,0.0398087
0.751538,1.503076,0.05473696
0.8623738,1.7247476,-0.37320652
0.9635127,1.9270254,0.3831587
1.0631705,2.126341,0.94048043
1.1635689,2.3271378,0.14928261
1.2571131,2.5142262,-1.05493043
1.3536583,2.7073166,-1.58737174
1.4531382,2.9062764,-0.35827826
1.5562921,3.1125842,-1.03502609
1.6542078,3.3084156,-0.27368478
1.7555995,3.511199,0.43789565
1.8595443,3.7190886,0.13933043
1.9651085,3.930217,-0.31846957
2.0592771,4.1185542,-0.34335
2.1641856,4.3283712,0.08459348
2.2585023,4.5170046,0.18411522
2.352124,4.704248,-0.06966522
2.4547106,4.9094212,0.61703478
2.5534153,5.1068306,-0.75636522
2.6667223,5.3334446,-0.5324413
2.7624655,5.524931,-0.23885217
2.8597886,5.7195772,-1.01512174
2.9587485,5.917497,-0.60210652
3.0535816,6.1071632,0.49263261
3.1547418,6.3094836,0.47272826
3.2529533,6.5059066,0.67674783
3.3471269,6.6942538,-0.96536087
3.4624625,6.924925,-1.08976304
3.5599345,7.119869,-0.27368478
3.6589186,7.3178372,-0.57225
3.7615958,7.5231916,0.13435435
3.8507163,7.7014326,0.43789565
3.9574796,7.9149592,0.21894783
4.0482042,8.0964084,1.04995435
4.1443124,8.2886248,-0.46277609
4.2941158,8.5882316,-0.70162826
4.3644326,8.7288652,-0.1890913
4.4559977,8.9119954,0.02488043
4.5615481,9.1230962,0.30851739
4.6530328,9.3060656,0.35827826
4.7479389,9.4958778,0.20401957
4.8513286,9.7026572,0.6120587
4.95807,9.91614,1.09473913
5.0494724,10.0989448,0.44287174
5.2122309,10.4244618,0.02488043
5.284428,10.568856,-0.17416304
5.3537936,10.7075872,-0.13435435
5.4643845,10.928769,0.50258478
5.5648288,11.1296576,1.16440435
5.6636808,11.3273616,0.40803913
5.7468533,11.4937066,-0.1542587
5.875785,11.75157,-0.44784783
5.9664383,11.9328766,-0.04976087
6.0725358,12.1450716,-0.97531304
6.1514449,12.3028898,-0.96536087
6.2704521,12.5409042,-0.16918696
6.3670965,12.734193,0.04478478
6.4628431,12.9256862,1.03502609
6.5674517,13.1349034,1.23406957
6.6682063,13.3364126,0.53741739
6.7480946,13.4961892,-0.7265087
6.859952,13.719904,-1.22909348
6.9623095,13.924619,-0.88574348
7.075506,14.151012,-0.4976087
7.1621344,14.3242688,0.82105435
7.2682092,14.5364184,2.06507609
7.3735489,14.7470978,0.66679565
7.4614376,14.9228752,0.36823043
7.5456726,15.0913452,0.03483261
7.6622683,15.3245366,0.32842174
7.7657281,15.5314562,-0.01990435
7.8760894,15.7521788,0.86086304
7.962943,15.925886,0.58220217
8.0483325,16.096665,0.49263261
8.1653698,16.3307396,0.4179913
8.251244,16.502488,-0.50258478
8.3586865,16.717373,0.53741739
8.4612418,16.9224836,1.28880652
8.5787698,17.1575396,0.89071957
8.6568706,17.3137412,0.76631739
8.7801974,17.5603948,0.2289
8.8566382,17.7132764,0.81607826
8.9629324,17.9258648,0.16421087
9.0506441,18.1012882,0.26373261
9.1736259,18.3472518,-0.24880435
9.2487912,18.4975824,-0.32344565
9.3609375,18.721875,-0.29856522
9.4582186,18.9164372,-0.92555217
9.5536802,19.1073604,-0.50258478
9.6799152,19.3598304,-0.40306304
9.7577945,19.515589,-0.23387609
9.8711883,19.7423766,0.10449783
9.9516792,19.9033584,0.51751304
10.0475759,20.0951518,0.85588696
10.1763294,20.3526588,0.89569565
10.2581807,20.5163614,0.16421087
10.3542088,20.7084176,-0.0746413
10.46964,20.93928,-1.02009783
10.5516514,21.1033028,-0.43291957
10.650786,21.301572,0.53741739
10.7501263,21.5002526,1.40325652
10.8475425,21.695085,0.52248913
10.9670576,21.9341152,1.25397391
11.086364,22.172728,1.04497826
11.1696068,22.3392136,0.17913913
11.254237,22.508474,0.04478478
11.3535442,22.7070884,0.14430652
11.473289,22.946578,-0.14430652
11.5577545,23.115509,-0.48268043
11.6796819,23.3593638,-0.55234565
11.7666961,23.5333922,-0.06468913
11.8692847,23.7385694,-0.02985652
11.9565601,23.9131202,0.17913913
12.0623939,24.1247878,-0.60210652
12.1688213,24.3376426,0.04478478
12.2733007,24.5466014,1.91579348
12.3630398,24.7260796,-45.78
12.4498663,24.8997326,-172.58562389
12.5796802,25.1593604,-275.12287171
12.6616527,25.3233054,-333.59189344
12.7958174,25.5916348,-356.60131953
12.8795678,25.7591356,-352.44131083
12.9927801,25.9855602,-351.49087822
13.0756856,26.1513712,-359.72630214
13.1592866,26.3185732,-376.90375431
13.280315,26.56063,-400.91337387
13.3628555,26.725711,-452.03271517
13.4756389,26.9512778,-488.58704995
13.5593274,27.1186548,-506.55072386
13.6689701,27.3379402,-538.79079125
13.75566,27.51132,-606.98308689
13.8708727,27.7417454,-692.89522819
13.9540401,27.9080802,-795.47726079
14.0634912,28.1269824,-918.73493469
14.1497307,28.2994614,-1062.85236511
14.2560814,28.5121628,-1220.36044552
14.3473584,28.6947168,-1566.73590636
14.4557097,28.9114194,-1739.17224764
14.5549625,29.109925,-1882.54824111
14.6619703,29.3239406,-1996.69967588
14.7524234,29.5048468,-2108.9601976
14.8555884,29.7111768,-2228.79432368
14.9492318,29.8984636,-2360.14809106
15.0488484,30.0976968,-2496.87105626
