Time,Displacement,Force
0.0246155,0.049231,1.42916836
0.056308,0.112616,1.30653345
0.1532273,0.3064546,0.95277891
0.2558873,0.5117746,1.52350291
0.3561375,0.712275,1.17918182
0.4550174,0.9100348,1.76877273
0.5589976,1.1179952,1.65085455
0.659079,1.318158,1.39143455
0.7563038,1.5126076,1.37728436
0.8597394,1.7194788,1.37256764
0.961944,1.923888,1.24993273
1.0593211,2.1186422,1.44331855
1.1572207,2.3144414,1.24993273
1.256602,2.513204,0.89146145
1.3531269,2.7062538,1.16974836
1.4612725,2.922545,1.31125018
1.5538743,3.1077486,1.56595345
1.6547081,3.3094162,1.61312073
1.7569787,3.5139574,1.35841745
1.8576,3.7152,1.04239673
1.9641435,3.928287,1.14616473
2.0615849,4.1231698,1.400868
2.165053,4.330106,1.52821964
2.2648398,4.5296796,1.36785091
2.3710545,4.742109,1.08484727
2.4644452,4.9288904,1.39615127
2.5632027,5.1264054,1.37728436
2.6685027,5.3370054,1.43388509
2.7682217,5.5364434,1.39615127
2.8627041,5.7254082,1.25936618
2.9636439,5.9272878,1.56123673
3.0708027,6.1416054,1.49048582
3.1662937,6.3325874,1.245216
3.2653963,6.5307926,1.22634909
3.3560121,6.7120242,1.41030145
3.4578034,6.9156068,1.40558473
3.5679031,7.1358062,1.504636
3.6631303,7.3262606,1.38200109
3.764997,7.529994,1.33011709
3.8607336,7.7214672,1.36785091
3.9592652,7.9185304,1.23578255
4.0560072,8.1120144,1.27823309
4.1780642,8.3561284,1.22634909
4.2665481,8.5330962,1.27351636
4.3695763,8.7391526,1.36785091
4.4698847,8.9397694,1.20748218
4.5741902,9.1483804,1.41501818
4.6711722,9.3423444,1.64613782
4.7758348,9.5516696,1.54708655
4.8570163,9.7140326,1.28766655
4.9725534,9.9451068,1.348984
5.0699283,10.1398566,1.34426727
5.1684792,10.3369584,1.38200109
5.2753441,10.5506882,1.47161891
5.3579224,10.7158448,1.61783745
5.4820022,10.9640044,1.41030145
5.5526889,11.1053778,1.23106582
5.6660165,11.332033,1.21691564
5.7630039,11.5260078,1.39143455
5.8656863,11.7313726,1.41501818
5.9508769,11.9017538,1.75933927
6.0653653,12.1307306,1.42445164
6.1604195,12.320839,1.42445164
6.249496,12.498992,1.33955055
6.3554902,12.7109804,1.34426727
6.4742937,12.9485874,1.52350291
6.5497207,13.0994414,1.30181673
6.65681,13.31362,1.400868
6.7480179,13.4960358,1.58953709
6.8731683,13.7463366,1.53765309
6.9638839,13.9277678,1.46218545
7.0559635,14.111927,1.36785091
7.1648399,14.3296798,1.29238327
7.2574166,14.5148332,1.17918182
7.3692125,14.738425,1.30181673
7.4633026,14.9266052,1.64142109
7.5578173,15.1156346,1.58953709
7.6707604,15.3415208,1.43388509
7.7667034,15.5334068,1.18389855
7.8633067,15.7266134,1.22634909
7.9598536,15.9197072,1.28294982
8.0567194,16.1134388,1.33955055
8.1532677,16.3065354,1.56123673
8.2507202,16.5014404,1.42916836
8.382484,16.764968,1.41973491
8.4655884,16.9311768,1.57538691
8.5648357,17.1296714,1.400868
8.6666073,17.3332146,1.35370073
8.7680823,17.5361646,1.44331855
8.8708123,17.7416246,1.348984
8.9741887,17.9483774,1.25464945
9.0781521,18.1563042,1.43860182
9.1829021,18.3658042,1.44331855
9.288609,18.577218,0.91032836
9.3954794,18.7909588,-16.44251127
9.5030222,19.0060444,-129.13927598
9.5586888,19.1173776,-291.11640723
9.7112222,19.4224444,-359.51838613
9.7585258,19.5170516,-367.08401667
9.9096889,19.8193778,-366.7774294
9.9572133,19.9144266,-370.39044249
10.0931938,20.1863876,-376.48917085
10.1567116,20.3134232,-380.9417614
10.3043777,20.6087554,-398.37950212
10.3522868,20.7045736,-412.40704903
10.4905417,20.9810834,-439.24994393
10.5536855,21.107371,-476.07343374
10.6775563,21.3551126,-499.53915192
10.7554779,21.5109558,-483.63906429
10.8646836,21.7293672,-483.40794465
10.950807,21.901614,-601.39687736
11.049499,22.098998,-881.65537841
11.1493193,22.2986386,-1213.80259618
11.2515166,22.5030332,-1567.32602194
11.3479609,22.6959218,-1977.45017497
11.4488236,22.8976472,-2418.17173781
11.618226,23.236452,-3307.83611913
11.6604828,23.3209656,-3764.35871833
11.8065565,23.613113,-4229.71103098
11.8567397,23.7134794,-4696.48307855
11.9979707,23.9959414,-5163.09947411
12.0570216,24.1140432,-5622.1785395
12.1860996,24.3721992,-6072.60241034
12.2606224,24.5212448,-6521.29524227
12.3754273,24.7508546,-6958.15380547
12.4579265,24.915853,-7391.20125304
12.5614531,25.1229062,-7826.6683817
