Time,Displacement,Force
0.0250451,0.0500902,0.38677164
0.1525423,0.3050846,0.41978873
0.248006,0.496012,0.23583636
0.3371502,0.6743004,-0.02358364
0.4310811,0.8621622,0.80184364
0.531292,1.062584,0.83957745
0.6296298,1.2592596,0.66505855
0.7275792,1.4551584,0.62732473
0.83225,1.6645,0.61317455
0.9328824,1.8657648,0.56600727
1.0350353,2.0700706,0.56600727
1.1332139,2.2664278,0.55657382
1.2298071,2.4596142,0.47638945
1.3261172,2.6522344,0.59430764
1.4262045,2.852409,0.74995964
1.5294917,3.0589834,0.89617818
1.6336042,3.2672084,0.33017091
1.7290638,3.4581276,0.52827345
1.8291762,3.6583524,0.40092182
1.928416,3.856832,0.58959091
2.0274902,4.0549804,0.56600727
2.1269706,4.2539412,0.58015745
2.2233292,4.4466584,0.58015745
2.3297951,4.6595902,0.363188
2.4240428,4.8480856,0.32073745
2.5257742,5.0515484,0.44337236
2.6251113,5.2502226,0.53770691
2.7266672,5.4533344,0.29715382
2.8248334,5.6496668,0.59902436
2.9386101,5.8772202,0.50468982
3.0363748,6.0727496,0.66505855
3.1245774,6.2491548,0.75939309
3.2250554,6.4501108,0.73109273
3.3411019,6.6822038,0.47638945
3.4305092,6.8610184,0.52827345
3.5334973,7.0669946,0.61317455
3.6280155,7.256031,0.622608
3.7405076,7.4810152,0.64147491
3.8287297,7.6574594,0.88674473
3.9352143,7.8704286,0.81599382
4.0355052,8.0710104,0.74524291
4.1370702,8.2741404,0.85844436
4.2294112,8.4588224,0.75939309
4.342926,8.685852,0.55657382
4.4265367,8.8530734,0.69335891
4.530949,9.061898,0.69807564
4.6423846,9.2847692,0.56129055
4.7172369,9.4344738,0.60845782
4.8379774,9.6759548,0.52827345
4.9279103,9.8558206,0.46223927
5.0373998,10.0747996,0.47167273
5.1275649,10.2551298,0.51412327
5.230953,10.461906,0.51412327
5.3468208,10.6936416,0.81127709
5.4296455,10.859291,0.75939309
5.5460318,11.0920636,0.66505855
5.6381259,11.2762518,0.76882655
5.7339385,11.467877,0.62732473
5.8412772,11.6825544,0.61317455
5.9274129,11.8548258,0.49053964
6.037246,12.074492,0.71222582
6.1345459,12.2690918,0.78297673
6.2329688,12.4659376,0.674492
6.3318973,12.6637946,0.65562509
6.4429249,12.8858498,0.77354327
6.5316267,13.0632534,0.58015745
6.6431738,13.2863476,0.54714036
6.7411989,13.4823978,0.84901091
6.8220822,13.6441644,0.63675818
6.9245269,13.8490538,0.37262145
7.0384587,14.0769174,0.29715382
7.1294331,14.2588662,0.59902436
7.2181488,14.4362976,0.68392545
7.3257203,14.6514406,0.73580945
7.4447443,14.8894886,0.45280582
7.5408311,15.0816622,0.33017091
7.6330605,15.266121,0.49525636
7.7262042,15.4524084,0.68864218
7.8346782,15.6693564,0.52827345
7.9270672,15.8541344,0.55185709
8.0511351,16.1022702,0.52355673
8.1320006,16.2640012,0.27357018
8.2268858,16.4537716,0.39148836
8.3381972,16.6763944,0.41978873
8.4314948,16.8629896,0.33488764
8.5304137,17.0608274,0.31602073
8.6514902,17.3029804,0.33960436
8.7507413,17.5014826,0.23111964
8.8526317,17.7052634,0.42922218
8.9541427,17.9082854,0.43865564
9.0389764,18.0779528,0.42450545
9.1377509,18.2755018,0.466956
9.2211367,18.4422734,0.48110618
9.3253897,18.6507794,0.31602073
9.4257255,18.851451,0.27828691
9.5462172,19.0924344,0.43393891
9.632682,19.265364,0.54714036
9.73562,19.47124,0.42922218
9.8356485,19.671297,0.23111964
9.9580941,19.9161882,0.50940655
10.0627232,20.1254464,0.53299018
10.1704165,20.340833,0.59430764
10.2753295,20.550659,0.60374109
10.3682317,20.7364634,0.36790473
10.4762073,20.9524146,0.58959091
10.5855973,21.1711946,0.83486073
10.6980718,21.3961436,0.90561164
10.7227345,21.445469,0.60845782
10.8267163,21.6534326,0.43393891
10.9273478,21.8546956,0.38677164
11.0203493,22.0406986,0.363188
11.1956167,22.3912334,0.56600727
11.2925381,22.5850762,0.30658727
11.3189382,22.6378764,0.19338582
11.4949104,22.9898208,0.21225273
11.5179919,23.0359838,0.570724
11.6943122,23.3886244,0.43865564
11.7920138,23.5840276,0.32545418
11.8262412,23.6524824,0.70279236
11.9968799,23.9937598,0.73580945
12.026546,24.053092,0.415072
12.2017777,24.4035554,0.33960436
12.2240028,24.4480056,0.38205491
12.3240915,24.648183,0.50940655
12.4930647,24.9861294,0.62732473
12.5243312,25.0486624,0.22168618
12.6978296,25.3956592,0.21696945
12.7958294,25.5916588,0.28300364
12.82229,25.64458,0.40563855
12.9225838,25.8451676,0.33488764
13.1234742,26.2469484,0.41035527
13.2369138,26.4738276,0.41978873
13.3519784,26.7039568,0.466956
13.4694422,26.9388844,0.415072
13.5889978,27.1779956,0.65090836
13.6184213,27.2368426,0.66505855
13.7181952,27.4363904,0.311304
13.8951539,27.7903078,0.466956
13.9949415,27.989883,0.55657382
14.0958399,28.1916798,0.49053964
14.1263914,28.2527828,0.570724
14.2262795,28.452559,0.51884
14.4136779,28.8273558,0.76882655
14.4387617,28.8775234,0.44808909
14.5338722,29.0677444,0.35847127
14.6298065,29.259613,0.73109273
14.7272413,29.4544826,0.64147491
14.8221456,29.6442912,0.39620509
14.9226106,29.8452212,0.58015745
15.0220795,30.044159,0.41035527
15.1223399,30.2446798,0.33017091
15.3066843,30.6133686,0.52827345
15.3315954,30.6631908,0.55185709
15.4279992,30.8559984,0.36790473
15.5262143,31.0524286,0.30658727
15.6238134,31.2476268,0.54242364
15.7212167,31.4424334,0.39148836
15.8188711,31.6377422,0.59430764
15.9240604,31.8481208,0.55657382
16.0242673,32.0485346,0.38205491
16.1234072,32.2468144,0.58015745
16.2268605,32.453721,0.830144
16.3269181,32.6538362,0.90561164
16.4261809,32.8523618,0.79712691
16.5259379,33.0518758,0.65090836
16.6251129,33.2502258,0.57544073
16.7244808,33.4489616,0.43865564
16.8241436,33.6482872,0.27828691
16.9249305,33.849861,0.58959091
17.032924,34.065848,0.56600727
17.1223772,34.2447544,0.69807564
17.2221867,34.4443734,0.79241018
17.3220052,34.6440104,0.50940655
17.4227739,34.8455478,0.28300364
17.5499109,35.0998218,0.04245055
17.6520292,35.3040584,0.15093527
17.756037,35.512074,0.52355673
17.859802,35.719604,0.77354327
17.9639531,35.9279062,0.85372764
18.0699502,36.1399004,0.73580945
18.1749005,36.349801,0.63675818
18.2809471,36.5618942,0.58959091
18.3900233,36.7800466,0.18395236
18.4973249,36.9946498,-39.04506836
18.6065445,37.213089,-189.69733743
18.6265397,37.2530794,-279.44722396
18.7279617,37.4559234,-339.51946249
18.8244496,37.6488992,-357.34869158
18.9263081,37.8526162,-360.85321994
19.0392926,38.0785852,-368.71600431
19.1269553,38.2539106,-376.13541631
19.264656,38.529312,-388.52625885
19.3244908,38.6489816,-402.93114394
19.4955621,38.9911242,-413.02022357
19.5245981,39.0491962,-425.26013084
19.6251982,39.2503964,-465.8098352
19.7246658,39.4493316,-526.69806756
19.823253,39.646506,-628.3152399
19.9423688,39.8847376,-692.98628753
20.0241798,40.0483596,-1028.60501657
20.1673878,40.3347756,-1594.15004994
20.2212176,40.4424352,-2193.86305566
20.3940832,40.7881664,-2836.63978138
20.4211064,40.8422128,-3495.11377546
20.5193438,41.0386876,-4124.44311173
20.6186287,41.2372574,-4737.82990981
20.7215889,41.4431778,-5335.77885954
20.838708,41.677416,-6403.92420083
20.9249227,41.8498454,-6842.82982367
21.0744292,42.1488584,-7207.2253058
21.1209005,42.241801,-7495.16735557
21.3149375,42.629875,-7676.40288427
21.3308505,42.661701,-7726.47094426
21.4221117,42.8442234,-5933.25141981
21.5694827,43.1389654,-1278.78023108
21.6287379,43.2574758,-8.49482582
21.7974181,43.5948362,-0.11320145
21.8965742,43.7931484,0.00943345
21.9248453,43.8496906,0.16508545
22.0970466,44.1940932,0.24055309
22.1251875,44.250375,0.26885345
22.3004077,44.6008154,0.01886691
22.3258535,44.651707,0.18866909
22.4249034,44.8498068,0.12735164
22.6004127,44.8498068,0.18866909
